date,site,transect,quadrat,functional_group,percent_cover
05/01/96,Yawzi,3,6,All coral,2.7
05/01/96,Yawzi,3,7,All coral,6.4
05/01/96,Yawzi,3,8,All coral,1
05/01/96,Yawzi,3,9,All coral,0.5
05/01/96,Yawzi,3,10,All coral,7
05/01/97,Yawzi,1,1,All coral,74.5
05/01/97,Yawzi,1,2,All coral,36
05/01/97,Yawzi,1,3,All coral,70.5
05/01/97,Yawzi,1,4,All coral,67.5
05/01/97,Yawzi,1,5,All coral,69.5
05/01/97,Yawzi,1,6,All coral,41.5
05/01/97,Yawzi,1,7,All coral,31
05/01/97,Yawzi,1,8,All coral,40
05/01/97,Yawzi,1,9,All coral,45
05/01/97,Yawzi,1,10,All coral,34.5
05/01/97,Yawzi,2,1,All coral,8
05/01/97,Yawzi,2,2,All coral,3.5
05/01/97,Yawzi,2,3,All coral,5.5
05/01/97,Yawzi,2,4,All coral,2.5
05/01/97,Yawzi,2,5,All coral,2
05/01/97,Yawzi,2,6,All coral,1.5
05/01/97,Yawzi,2,7,All coral,7.5
05/01/97,Yawzi,2,8,All coral,7.5
05/01/97,Yawzi,2,9,All coral,9.5
05/01/97,Yawzi,2,10,All coral,13
05/01/97,Yawzi,3,1,All coral,24.5
05/01/97,Yawzi,3,2,All coral,45.5
05/01/97,Yawzi,3,3,All coral,42.5
05/01/97,Yawzi,3,4,All coral,0.5
05/01/97,Yawzi,3,5,All coral,1
05/01/97,Yawzi,3,6,All coral,2.5
05/01/97,Yawzi,3,7,All coral,5
05/01/97,Yawzi,3,8,All coral,2.5
05/01/97,Yawzi,3,9,All coral,0.5
05/01/97,Yawzi,3,10,All coral,10
08/01/98,Yawzi,1,1,All coral,61.6
08/01/98,Yawzi,1,2,All coral,35.7
08/01/98,Yawzi,1,3,All coral,68.4
08/01/98,Yawzi,1,4,All coral,57.2
08/01/98,Yawzi,1,5,All coral,53.5
08/01/98,Yawzi,1,6,All coral,31.6
08/01/98,Yawzi,1,7,All coral,26.9
08/01/98,Yawzi,1,8,All coral,35.4
08/01/98,Yawzi,1,9,All coral,36.8
08/01/98,Yawzi,1,10,All coral,18.2
08/01/98,Yawzi,2,1,All coral,7.7
08/01/98,Yawzi,2,2,All coral,6.5
08/01/98,Yawzi,2,3,All coral,4.4
08/01/98,Yawzi,2,4,All coral,2.2
08/01/98,Yawzi,2,5,All coral,1.8
08/01/98,Yawzi,2,6,All coral,1
08/01/98,Yawzi,2,7,All coral,4.5
08/01/98,Yawzi,2,8,All coral,9.2
08/01/98,Yawzi,2,9,All coral,3.9
08/01/98,Yawzi,2,10,All coral,9
08/01/98,Yawzi,3,1,All coral,26.9
08/01/98,Yawzi,3,2,All coral,44.2
08/01/98,Yawzi,3,3,All coral,37
08/01/98,Yawzi,3,4,All coral,2.2
08/01/98,Yawzi,3,5,All coral,1.1
08/01/98,Yawzi,3,6,All coral,4.2
08/01/98,Yawzi,3,7,All coral,2.5
08/01/98,Yawzi,3,8,All coral,3.2
08/01/98,Yawzi,3,9,All coral,3.3
08/01/98,Yawzi,3,10,All coral,6.3
08/01/99,Yawzi,1,1,All coral,32
08/01/99,Yawzi,1,2,All coral,44.1
08/01/99,Yawzi,1,3,All coral,52.5
08/01/99,Yawzi,1,4,All coral,28.6
08/01/99,Yawzi,1,5,All coral,26.4
08/01/99,Yawzi,1,6,All coral,16.9
08/01/99,Yawzi,1,7,All coral,6.7
08/01/99,Yawzi,1,8,All coral,25.9
08/01/99,Yawzi,1,9,All coral,10.1
08/01/99,Yawzi,1,10,All coral,15.8
08/01/99,Yawzi,2,1,All coral,2
08/01/99,Yawzi,2,2,All coral,1.1
08/01/99,Yawzi,2,3,All coral,0
08/01/99,Yawzi,2,4,All coral,1.1
08/01/99,Yawzi,2,5,All coral,0
08/01/99,Yawzi,2,6,All coral,0
08/01/99,Yawzi,2,7,All coral,3.6
08/01/99,Yawzi,2,8,All coral,5.1
08/01/99,Yawzi,2,9,All coral,2
08/01/99,Yawzi,2,10,All coral,9.1
08/01/99,Yawzi,3,1,All coral,9.7
08/01/99,Yawzi,3,2,All coral,20.1
08/01/99,Yawzi,3,3,All coral,29
08/01/99,Yawzi,3,4,All coral,0.5
08/01/99,Yawzi,3,5,All coral,0.5
08/01/99,Yawzi,3,6,All coral,2.1
08/01/99,Yawzi,3,7,All coral,0
08/01/99,Yawzi,3,8,All coral,1.5
08/01/99,Yawzi,3,9,All coral,1.5
08/01/99,Yawzi,3,10,All coral,8.2
08/01/00,Yawzi,1,1,All coral,60.3
08/01/00,Yawzi,1,2,All coral,31.7
08/01/00,Yawzi,1,3,All coral,65.7
08/01/00,Yawzi,1,4,All coral,49.5
08/01/00,Yawzi,1,5,All coral,15.9
08/01/00,Yawzi,1,6,All coral,9.5
08/01/00,Yawzi,1,7,All coral,16
08/01/00,Yawzi,1,8,All coral,8.5
08/01/00,Yawzi,1,9,All coral,10.8
08/01/00,Yawzi,1,10,All coral,14.2
08/01/00,Yawzi,2,1,All coral,5.1
08/01/00,Yawzi,2,2,All coral,4
08/01/00,Yawzi,2,3,All coral,1.5
08/01/00,Yawzi,2,4,All coral,1.5
08/01/00,Yawzi,2,5,All coral,0.5
08/01/00,Yawzi,2,6,All coral,0.5
08/01/00,Yawzi,2,7,All coral,1.1
08/01/00,Yawzi,2,8,All coral,0.5
08/01/00,Yawzi,2,9,All coral,2.2
08/01/00,Yawzi,2,10,All coral,7.4
08/01/00,Yawzi,3,1,All coral,4.3
08/01/00,Yawzi,3,2,All coral,21
08/01/00,Yawzi,3,3,All coral,18.5
08/01/00,Yawzi,3,4,All coral,0
08/01/00,Yawzi,3,5,All coral,0.6
08/01/00,Yawzi,3,6,All coral,0.6
08/01/00,Yawzi,3,7,All coral,0
08/01/00,Yawzi,3,8,All coral,0
08/01/00,Yawzi,3,9,All coral,0
08/01/00,Yawzi,3,10,All coral,6.6
08/01/01,Yawzi,1,1,All coral,58.9
08/01/01,Yawzi,1,2,All coral,43
08/01/01,Yawzi,1,3,All coral,50
08/01/01,Yawzi,1,4,All coral,44
08/01/01,Yawzi,1,5,All coral,18.7
08/01/01,Yawzi,1,6,All coral,5.6
08/01/01,Yawzi,1,7,All coral,9.2
08/01/01,Yawzi,1,8,All coral,7.1
08/01/01,Yawzi,1,9,All coral,9.6
08/01/01,Yawzi,1,10,All coral,17.6
08/01/01,Yawzi,2,1,All coral,3
08/01/01,Yawzi,2,2,All coral,2.6
08/01/01,Yawzi,2,3,All coral,0
08/01/01,Yawzi,2,4,All coral,1.5
08/01/01,Yawzi,2,5,All coral,1.5
08/01/01,Yawzi,2,6,All coral,1.5
08/01/01,Yawzi,2,7,All coral,4
08/01/01,Yawzi,2,8,All coral,2
08/01/01,Yawzi,2,9,All coral,3.1
08/01/01,Yawzi,2,10,All coral,7
08/01/01,Yawzi,3,1,All coral,7.5
08/01/01,Yawzi,3,2,All coral,19.8
08/01/01,Yawzi,3,3,All coral,22.6
08/01/01,Yawzi,3,4,All coral,0
08/01/01,Yawzi,3,5,All coral,0.5
08/01/01,Yawzi,3,6,All coral,0.5
08/01/01,Yawzi,3,7,All coral,0.5
08/01/01,Yawzi,3,8,All coral,0
08/01/01,Yawzi,3,9,All coral,0
08/01/01,Yawzi,3,10,All coral,7.1
08/01/02,Yawzi,1,1,All coral,53.9
08/01/02,Yawzi,1,2,All coral,26.9
08/01/02,Yawzi,1,3,All coral,66
08/01/02,Yawzi,1,4,All coral,38.7
08/01/02,Yawzi,1,5,All coral,20.1
08/01/02,Yawzi,1,6,All coral,16.8
08/01/02,Yawzi,1,7,All coral,13
08/01/02,Yawzi,1,8,All coral,9.2
08/01/02,Yawzi,1,9,All coral,21.9
08/01/02,Yawzi,1,10,All coral,23.7
08/01/02,Yawzi,2,1,All coral,3.7
08/01/02,Yawzi,2,2,All coral,2.6
08/01/02,Yawzi,2,3,All coral,1.5
08/01/02,Yawzi,2,4,All coral,2.1
08/01/02,Yawzi,2,5,All coral,2.8
08/01/02,Yawzi,2,6,All coral,0.5
08/01/02,Yawzi,2,7,All coral,3.7
08/01/02,Yawzi,2,8,All coral,1.5
08/01/02,Yawzi,2,9,All coral,3
08/01/02,Yawzi,2,10,All coral,11.2
08/01/02,Yawzi,3,1,All coral,6.7
08/01/02,Yawzi,3,2,All coral,15.3
08/01/02,Yawzi,3,3,All coral,27.6
08/01/02,Yawzi,3,4,All coral,2
08/01/02,Yawzi,3,5,All coral,0.5
08/01/02,Yawzi,3,6,All coral,1
08/01/02,Yawzi,3,7,All coral,1.1
08/01/02,Yawzi,3,8,All coral,0
08/01/02,Yawzi,3,9,All coral,0
08/01/02,Yawzi,3,10,All coral,6.7
08/01/03,Yawzi,1,1,All coral,60.1
08/01/03,Yawzi,1,2,All coral,39.6
08/01/03,Yawzi,1,3,All coral,51.8
08/01/03,Yawzi,1,4,All coral,29
08/01/03,Yawzi,1,5,All coral,20
08/01/03,Yawzi,1,6,All coral,9.1
08/01/03,Yawzi,1,7,All coral,12.8
08/01/03,Yawzi,1,8,All coral,12.4
08/01/03,Yawzi,1,9,All coral,16.9
08/01/03,Yawzi,1,10,All coral,20
08/01/03,Yawzi,2,1,All coral,4.1
08/01/03,Yawzi,2,2,All coral,5.1
08/01/03,Yawzi,2,3,All coral,1.5
08/01/03,Yawzi,2,4,All coral,2.5
08/01/03,Yawzi,2,5,All coral,0.5
08/01/03,Yawzi,2,6,All coral,1.5
08/01/03,Yawzi,2,7,All coral,4.6
08/01/03,Yawzi,2,8,All coral,3.6
08/01/03,Yawzi,2,9,All coral,1
08/01/03,Yawzi,2,10,All coral,9.2
08/01/03,Yawzi,3,1,All coral,12.9
08/01/03,Yawzi,3,2,All coral,17.4
08/01/03,Yawzi,3,3,All coral,26.7
08/01/03,Yawzi,3,4,All coral,0.5
08/01/03,Yawzi,3,5,All coral,0.5
08/01/03,Yawzi,3,6,All coral,1
08/01/03,Yawzi,3,7,All coral,0
08/01/03,Yawzi,3,8,All coral,0
08/01/03,Yawzi,3,9,All coral,0
08/01/03,Yawzi,3,10,All coral,4.6
08/01/04,Yawzi,1,1,All coral,41.7
08/01/04,Yawzi,1,2,All coral,22.3
08/01/04,Yawzi,1,3,All coral,75
08/01/04,Yawzi,1,4,All coral,14.4
08/01/04,Yawzi,1,5,All coral,16.2
08/01/04,Yawzi,1,6,All coral,8.6
08/01/04,Yawzi,1,7,All coral,12.3
08/01/04,Yawzi,1,8,All coral,20.4
08/01/04,Yawzi,1,9,All coral,11.7
08/01/04,Yawzi,1,10,All coral,22.7
08/01/04,Yawzi,2,1,All coral,12.9
08/01/04,Yawzi,2,2,All coral,5.8
08/01/04,Yawzi,2,3,All coral,3.5
08/01/04,Yawzi,2,4,All coral,1.8
08/01/04,Yawzi,2,5,All coral,1.2
08/01/04,Yawzi,2,6,All coral,1.9
08/01/04,Yawzi,2,7,All coral,3.6
08/01/04,Yawzi,2,8,All coral,3.1
08/01/04,Yawzi,2,9,All coral,0
08/01/04,Yawzi,2,10,All coral,8
08/01/04,Yawzi,3,1,All coral,8.2
08/01/04,Yawzi,3,2,All coral,18.3
08/01/04,Yawzi,3,3,All coral,26.8
08/01/04,Yawzi,3,4,All coral,1.2
08/01/04,Yawzi,3,5,All coral,1.2
08/01/04,Yawzi,3,6,All coral,0.6
08/01/04,Yawzi,3,7,All coral,1.1
08/01/04,Yawzi,3,8,All coral,0
08/01/04,Yawzi,3,9,All coral,1.8
08/01/04,Yawzi,3,10,All coral,4
08/01/05,Yawzi,1,1,All coral,44.1
08/01/05,Yawzi,1,2,All coral,20.9
