YEAR,SITE,REGION,BENTHIC_GROUP,FAMILY,GENUS,COVER
1994,6,2,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.505128205
1994,6,2,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,0.902930403
1994,6,2,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,0.102564103
1994,6,2,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.102564103
1994,6,2,MACROALGAE and SPONGE,,,2.305631868
1994,6,2,TURF and CORALLINE ALGAE,,,32.5279304
1994,6,2,OTHER GROUP,,,7.405998168
1994,7,3,HARD CORAL,ACROPORIDAE,ACROPORA,10.56543195
1994,7,3,HARD CORAL,FAVIIDAE,FAVIA,1.234714708
1994,7,3,HARD CORAL,FAVIIDAE,FAVID SPP,0.275482094
1994,7,3,HARD CORAL,FAVIIDAE,GONIASTREA,1.821352835
1994,7,3,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,1.892700715
1994,7,3,HARD CORAL,ACROPORIDAE,ISOPORA,12.09148384
1994,7,3,HARD CORAL,ACROPORIDAE,MONTIPORA,1.341736528
1994,7,3,HARD CORAL,AGARICIIDAE,PAVONA,1.101928375
1994,7,3,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.275482094
1994,7,3,HARD CORAL,PORITIDAE,PORITES,8.999742355
1994,7,3,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,3.474245397
1994,7,3,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.826446281
1994,7,3,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,2.647799116
1994,7,3,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,0.515290247
1994,7,3,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,1.101928375
1994,7,3,MACROALGAE and SPONGE,,,2.709237569
1994,7,3,TURF and CORALLINE ALGAE,,,42.35487643
1994,7,3,OTHER GROUP,,,6.770121093
1994,8,3,HARD CORAL,ACROPORIDAE,ACROPORA,4.82324795
1994,8,3,HARD CORAL,FAVIIDAE,ECHINOPORA,0.487804878
1994,8,3,HARD CORAL,FAVIIDAE,FAVIA,0.939295456
1994,8,3,HARD CORAL,FAVIIDAE,FAVID SPP,1.671250588
1994,8,3,HARD CORAL,FAVIIDAE,FAVITES,0.406951872
1994,8,3,HARD CORAL,FAVIIDAE,GONIASTREA,3.258925604
1994,8,3,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,2.989325228
1994,8,3,HARD CORAL,ACROPORIDAE,ISOPORA,13.63709328
1994,8,3,HARD CORAL,ACROPORIDAE,MONTIPORA,4.918770261
1994,8,3,HARD CORAL,AGARICIIDAE,PAVONA,0.106951872
1994,8,3,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.362318841
1994,8,3,HARD CORAL,PORITIDAE,PORITES,9.875752283
1994,8,3,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,3.058560403
1994,8,3,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.244927536
1994,8,3,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,3.370025122
1994,8,3,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,0.403817603
1994,8,3,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.195121951
1994,8,3,MACROALGAE and SPONGE,,,2.866938299
1994,8,3,TURF and CORALLINE ALGAE,,,39.8785136
1994,8,3,OTHER GROUP,,,6.50440737
1994,9,3,HARD CORAL,ACROPORIDAE,ACROPORA,2.069939925
1994,9,3,HARD CORAL,FAVIIDAE,ECHINOPORA,0.4
1994,9,3,HARD CORAL,FAVIIDAE,FAVIA,1.287218045
1994,9,3,HARD CORAL,FAVIIDAE,FAVID SPP,0.927324593
1994,9,3,HARD CORAL,FAVIIDAE,FAVITES,0.100502513
1994,9,3,HARD CORAL,FAVIIDAE,GONIASTREA,0.621558922
1994,9,3,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,1.522563948
1994,9,3,HARD CORAL,ACROPORIDAE,ISOPORA,10.85466052
1994,9,3,HARD CORAL,ACROPORIDAE,MONTIPORA,2.317051423
1994,9,3,HARD CORAL,PORITIDAE,PORITES,9.404057883
1994,9,3,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,4.904303472
1994,9,3,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.105263158
1994,9,3,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,2.680972532
1994,9,3,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,1.018305815
1994,9,3,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.114285714
1994,9,3,MACROALGAE and SPONGE,,,7.603037745
1994,9,3,TURF and CORALLINE ALGAE,,,46.99547739
1994,9,3,OTHER GROUP,,,7.073476405
1994,10,4,HARD CORAL,ACROPORIDAE,ACROPORA,1.474943601
1994,10,4,HARD CORAL,FAVIIDAE,FAVIA,0.681900311
1994,10,4,HARD CORAL,FAVIIDAE,GONIASTREA,2.829455028
1994,10,4,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,1.258728158
1994,10,4,HARD CORAL,ACROPORIDAE,ISOPORA,0.879028423
1994,10,4,HARD CORAL,ACROPORIDAE,MONTIPORA,3.689797701
1994,10,4,HARD CORAL,AGARICIIDAE,PAVONA,0.274943311
1994,10,4,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.334074224
1994,10,4,HARD CORAL,PORITIDAE,PORITES,13.68212386
1994,10,4,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,1.536995987
1994,10,4,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.410997732
1994,10,4,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,11.92130922
1994,10,4,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,3.270141447
1994,10,4,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,2.741856306
1994,10,4,MACROALGAE and SPONGE,,,0.507987267
1994,10,4,TURF and CORALLINE ALGAE,,,41.62520415
1994,10,4,OTHER GROUP,,,12.88051328
1994,11,4,HARD CORAL,ACROPORIDAE,ACROPORA,1.793967247
1994,11,4,HARD CORAL,FAVIIDAE,FAVIA,0.440766322
1994,11,4,HARD CORAL,FAVIIDAE,GONIASTREA,1.4800929
1994,11,4,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,0.698690275
1994,11,4,HARD CORAL,ACROPORIDAE,ISOPORA,8.736700049
1994,11,4,HARD CORAL,ACROPORIDAE,MONTIPORA,2.812253152
1994,11,4,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.479049406
1994,11,4,HARD CORAL,PORITIDAE,PORITES,15.09492831
1994,11,4,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,5.201743042
1994,11,4,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.969490808
1994,11,4,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,17.09027924
1994,11,4,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,1.709897513
1994,11,4,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.282036164
1994,11,4,MACROALGAE and SPONGE,,,0.992743106
1994,11,4,TURF and CORALLINE ALGAE,,,34.84539608
1994,11,4,OTHER GROUP,,,7.371966391
1994,12,4,HARD CORAL,ACROPORIDAE,ACROPORA,0.335438596
1994,12,4,HARD CORAL,FAVIIDAE,ECHINOPORA,0.296296296
1994,12,4,HARD CORAL,FAVIIDAE,FAVIA,1.490323214
1994,12,4,HARD CORAL,FAVIIDAE,FAVID SPP,0.455840456
1994,12,4,HARD CORAL,FAVIIDAE,FAVITES,0.153846154
1994,12,4,HARD CORAL,FAVIIDAE,GONIASTREA,1.43799484
1994,12,4,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,2.259693383
1994,12,4,HARD CORAL,ACROPORIDAE,ISOPORA,3.97616517
1994,12,4,HARD CORAL,ACROPORIDAE,MONTIPORA,4.102759551
1994,12,4,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.153846154
1994,12,4,HARD CORAL,PORITIDAE,PORITES,17.59052683
1994,12,4,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,0.492413793
1994,12,4,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.603988604
1994,12,4,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,8.075067864
1994,12,4,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,1.154463938
1994,12,4,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,1.380846842
1994,12,4,MACROALGAE and SPONGE,,,0.517241379
1994,12,4,TURF and CORALLINE ALGAE,,,43.89788698
1994,12,4,OTHER GROUP,,,11.62535995
1994,13,5,HARD CORAL,ACROPORIDAE,ACROPORA,3.949538582
1994,13,5,HARD CORAL,FAVIIDAE,FAVIA,0.580197271
1994,13,5,HARD CORAL,FAVIIDAE,FAVID SPP,0.997835716
1994,13,5,HARD CORAL,FAVIIDAE,FAVITES,0.711468979
1994,13,5,HARD CORAL,FUNGIIDAE,FUNGIA,0.097087379
1994,13,5,HARD CORAL,FAVIIDAE,GONIASTREA,0.504990419
1994,13,5,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,1.736567879
1994,13,5,HARD CORAL,ACROPORIDAE,ISOPORA,16.15197646
1994,13,5,HARD CORAL,ACROPORIDAE,MONTIPORA,6.526410108
1994,13,5,HARD CORAL,AGARICIIDAE,PAVONA,0.288461538
1994,13,5,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.408376637
1994,13,5,HARD CORAL,PORITIDAE,PORITES,10.85415803
1994,13,5,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,3.631923184
1994,13,5,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.481702763
1994,13,5,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,3.525314243
1994,13,5,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,0.977690897
1994,13,5,MACROALGAE and SPONGE,,,2.683234139
1994,13,5,TURF and CORALLINE ALGAE,,,40.29426312
1994,13,5,OTHER GROUP,,,5.59880266
1994,14,5,HARD CORAL,ACROPORIDAE,ACROPORA,1.513756979
1994,14,5,HARD CORAL,FAVIIDAE,ECHINOPORA,0.725388601
1994,14,5,HARD CORAL,FAVIIDAE,FAVIA,0.790494059
1994,14,5,HARD CORAL,FAVIIDAE,FAVID SPP,0.687929956
1994,14,5,HARD CORAL,FAVIIDAE,FAVITES,0.395247029
1994,14,5,HARD CORAL,FUNGIIDAE,FUNGIA,0.102564103
1994,14,5,HARD CORAL,FAVIIDAE,GONIASTREA,2.191680681
1994,14,5,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,0.507817386
1994,14,5,HARD CORAL,ACROPORIDAE,ISOPORA,36.11767718
1994,14,5,HARD CORAL,ACROPORIDAE,MONTIPORA,1.591305447
1994,14,5,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.493870845
1994,14,5,HARD CORAL,PORITIDAE,PORITES,11.69111524
1994,14,5,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,1.681737615
1994,14,5,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.195121951
1994,14,5,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,4.631262415
1994,14,5,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,1.534080562
1994,14,5,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.195121951
1994,14,5,MACROALGAE and SPONGE,,,4.03714757
1994,14,5,TURF and CORALLINE ALGAE,,,27.59967207
1994,14,5,OTHER GROUP,,,3.317008363
1994,15,5,HARD CORAL,ACROPORIDAE,ACROPORA,2.775078483
1994,15,5,HARD CORAL,FAVIIDAE,FAVIA,1.587732432
1994,15,5,HARD CORAL,FAVIIDAE,FAVID SPP,1.586283506
1994,15,5,HARD CORAL,FAVIIDAE,FAVITES,0.996570877
1994,15,5,HARD CORAL,FAVIIDAE,GONIASTREA,2.081405458
1994,15,5,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,0.896039604
1994,15,5,HARD CORAL,ACROPORIDAE,ISOPORA,16.66240039
1994,15,5,HARD CORAL,ACROPORIDAE,MONTIPORA,10.04375755
1994,15,5,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.097560976
1994,15,5,HARD CORAL,PORITIDAE,PORITES,11.63134509
1994,15,5,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,2.282926829
1994,15,5,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.3
1994,15,5,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,4.954962569
1994,15,5,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,2.07592369
1994,15,5,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.198019802
1994,15,5,MACROALGAE and SPONGE,,,0.497560976
1994,15,5,TURF and CORALLINE ALGAE,,,34.37106979
1994,15,5,OTHER GROUP,,,6.96136199
1994,16,6,HARD CORAL,ACROPORIDAE,ACROPORA,1.336842105
1994,16,6,HARD CORAL,FAVIIDAE,FAVIA,1.020782726
1994,16,6,HARD CORAL,FAVIIDAE,FAVID SPP,0.610526316
1994,16,6,HARD CORAL,FAVIIDAE,FAVITES,1.126045884
1994,16,6,HARD CORAL,FAVIIDAE,GONIASTREA,1.844534413
1994,16,6,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,0.726315789
1994,16,6,HARD CORAL,ACROPORIDAE,ISOPORA,6.414844804
1994,16,6,HARD CORAL,ACROPORIDAE,MONTIPORA,7.914709852
1994,16,6,HARD CORAL,AGARICIIDAE,PAVONA,0.410526316
1994,16,6,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.405128205
1994,16,6,HARD CORAL,PORITIDAE,PORITES,11.46963563
1994,16,6,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,0.513090418
1994,16,6,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,3.47071525
1994,16,6,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,1.8365722
1994,16,6,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.41025641
1994,16,6,MACROALGAE and SPONGE,,,2.675978408
1994,16,6,TURF and CORALLINE ALGAE,,,47.61956815
1994,16,6,OTHER GROUP,,,10.19392713
1994,17,6,HARD CORAL,ACROPORIDAE,ACROPORA,2.658073458
1994,17,6,HARD CORAL,FAVIIDAE,FAVIA,0.926472626
1994,17,6,HARD CORAL,FAVIIDAE,FAVID SPP,1.11025641
1994,17,6,HARD CORAL,FAVIIDAE,FAVITES,0.313236313
1994,17,6,HARD CORAL,FAVIIDAE,GONIASTREA,0.920928621
1994,17,6,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,0.302564103
1994,17,6,HARD CORAL,ACROPORIDAE,ISOPORA,20.61981982
1994,17,6,HARD CORAL,ACROPORIDAE,MONTIPORA,8.913860014
1994,17,6,HARD CORAL,AGARICIIDAE,PAVONA,0.1
1994,17,6,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.524324324
1994,17,6,HARD CORAL,PORITIDAE,PORITES,8.322383922
1994,17,6,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,1.132016632
1994,17,6,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.102564103
1994,17,6,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,5.626334026
1994,17,6,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,4.281566182
1994,17,6,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.632432432
1994,17,6,MACROALGAE and SPONGE,,,1.76957727
1994,17,6,TURF and CORALLINE ALGAE,,,36.44282744
1994,17,6,OTHER GROUP,,,5.300762301
1994,18,6,HARD CORAL,ACROPORIDAE,ACROPORA,0.205128205
1994,18,6,HARD CORAL,FAVIIDAE,FAVIA,0.610526316
1994,18,6,HARD CORAL,FAVIIDAE,FAVID SPP,1.523211876
1994,18,6,HARD CORAL,FAVIIDAE,FAVITES,1.126045884
1994,18,6,HARD CORAL,FAVIIDAE,GONIASTREA,1.636167341
1994,18,6,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,0.30782726
1994,18,6,HARD CORAL,ACROPORIDAE,ISOPORA,7.385695007
1994,18,6,HARD CORAL,ACROPORIDAE,MONTIPORA,10.52537112
1994,18,6,HARD CORAL,AGARICIIDAE,PAVONA,0.621052632
1994,18,6,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.836842105
1994,18,6,HARD CORAL,PORITIDAE,PORITES,11.7265857
1994,18,6,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,1.53414305
1994,18,6,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,6.916734143
1994,18,6,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,4.456815115
1994,18,6,MACROALGAE and SPONGE,,,1.536437247
1994,18,6,TURF and CORALLINE ALGAE,,,39.90107962
1994,18,6,OTHER GROUP,,,9.150337382
1994,19,7,HARD CORAL,ACROPORIDAE,ACROPORA,1.457624831
1994,19,7,HARD CORAL,FAVIIDAE,ECHINOPORA,0.105263158
1994,19,7,HARD CORAL,FAVIIDAE,FAVIA,0.523616734
1994,19,7,HARD CORAL,FAVIIDAE,FAVID SPP,1.239406208
1994,19,7,HARD CORAL,FAVIIDAE,FAVITES,0.726180837
1994,19,7,HARD CORAL,FUNGIIDAE,FUNGIA,0.1
1994,19,7,HARD CORAL,FAVIIDAE,GONIASTREA,0.93414305
1994,19,7,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,1.5682861
1994,19,7,HARD CORAL,ACROPORIDAE,ISOPORA,8.562348178
1994,19,7,HARD CORAL,ACROPORIDAE,MONTIPORA,11.32213225
1994,19,7,HARD CORAL,AGARICIIDAE,PAVONA,0.105263158
1994,19,7,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.913090418
1994,19,7,HARD CORAL,PORITIDAE,PORITES,7.570580297
1994,19,7,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,4.894331984
1994,19,7,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,6.828340081
1994,19,7,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,1.257759784
1994,19,7,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,1.436437247
1994,19,7,MACROALGAE and SPONGE,,,2.71025641
1994,19,7,TURF and CORALLINE ALGAE,,,42.36923077
1994,19,7,OTHER GROUP,,,5.375708502
1994,20,7,HARD CORAL,ACROPORIDAE,ACROPORA,1.680700539
1994,20,7,HARD CORAL,FAVIIDAE,ECHINOPORA,0.534996535
1994,20,7,HARD CORAL,FAVIIDAE,FAVIA,1.898872962
1994,20,7,HARD CORAL,FAVIIDAE,FAVID SPP,1.99963891
1994,20,7,HARD CORAL,FAVIIDAE,FAVITES,0.62916074
1994,20,7,HARD CORAL,FAVIIDAE,GONIASTREA,2.207624223
1994,20,7,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,1.144545355
1994,20,7,HARD CORAL,ACROPORIDAE,ISOPORA,6.931611774
1994,20,7,HARD CORAL,ACROPORIDAE,MONTIPORA,6.261713535
1994,20,7,HARD CORAL,AGARICIIDAE,PAVONA,0.716374269
