site,quadrat,year,image_id,functional_group,percent_cover
Little Lameshur Bay,2,1992,Site_09_1992_002,All coral,0
Little Lameshur Bay,3,1992,Site_09_1992_003,All coral,2.1
Little Lameshur Bay,4,1992,Site_09_1992_004,All coral,0
Little Lameshur Bay,5,1992,Site_09_1992_005,All coral,0
Little Lameshur Bay,6,1992,Site_09_1992_006,All coral,0
Little Lameshur Bay,7,1992,Site_09_1992_007,All coral,0
Little Lameshur Bay,8,1992,Site_09_1992_008,All coral,0
Little Lameshur Bay,9,1992,Site_09_1992_009,All coral,0
Little Lameshur Bay,10,1992,Site_09_1992_010,All coral,10.7
Little Lameshur Bay,11,1992,Site_09_1992_011,All coral,4.1
Little Lameshur Bay,12,1992,Site_09_1992_012,All coral,0
Little Lameshur Bay,13,1992,Site_09_1992_013,All coral,1
Little Lameshur Bay,14,1992,Site_09_1992_014,All coral,0
Little Lameshur Bay,15,1992,Site_09_1992_015,All coral,0
Little Lameshur Bay,16,1992,Site_09_1992_016,All coral,0
Little Lameshur Bay,17,1992,Site_09_1992_017,All coral,0
Neptunes Table,1,1992,Site_05_1992_001,All coral,2
Neptunes Table,2,1992,Site_05_1992_002,All coral,4.1
Neptunes Table,3,1992,Site_05_1992_003,All coral,13.1
Neptunes Table,4,1992,Site_05_1992_004,All coral,0
Neptunes Table,5,1992,Site_05_1992_005,All coral,0
Neptunes Table,6,1992,Site_05_1992_006,All coral,0
Neptunes Table,7,1992,Site_05_1992_007,All coral,9.9
Neptunes Table,8,1992,Site_05_1992_008,All coral,0
Neptunes Table,9,1992,Site_05_1992_009,All coral,0
Neptunes Table,10,1992,Site_05_1992_010,All coral,0
Neptunes Table,11,1992,Site_05_1992_011,All coral,0
Neptunes Table,12,1992,Site_05_1992_012,All coral,0
Neptunes Table,13,1992,Site_05_1992_013,All coral,0
Neptunes Table,14,1992,Site_05_1992_014,All coral,0
Neptunes Table,15,1992,Site_05_1992_015,All coral,22.3
Neptunes Table,16,1992,Site_05_1992_016,All coral,0
Neptunes Table,17,1992,Site_05_1992_017,All coral,1
White Point,1,1992,Site_15_1992_001,All coral,0
White Point,2,1992,Site_15_1992_002,All coral,0
White Point,3,1992,Site_15_1992_003,All coral,1.5
White Point,4,1992,Site_15_1992_004,All coral,11.1
White Point,5,1992,Site_15_1992_005,All coral,3.1
White Point,6,1992,Site_15_1992_006,All coral,1.6
White Point,7,1992,Site_15_1992_007,All coral,0
White Point,8,1992,Site_15_1992_008,All coral,0
White Point,9,1992,Site_15_1992_009,All coral,0.5
White Point,10,1992,Site_15_1992_010,All coral,0
White Point,11,1992,Site_15_1992_011,All coral,0
White Point,12,1992,Site_15_1992_012,All coral,1.5
White Point,13,1992,Site_15_1992_013,All coral,0
White Point,14,1992,Site_15_1992_014,All coral,0
White Point,15,1992,Site_15_1992_015,All coral,2.1
White Point,16,1992,Site_15_1992_016,All coral,0
White Point,17,1992,Site_15_1992_017,All coral,0.5
Cabritte,1,1992,Site_02_1992_001,Macroalgae,4.2
Cabritte,2,1992,Site_02_1992_002,Macroalgae,8.1
Cabritte,3,1992,Site_02_1992_003,Macroalgae,6.1
Cabritte,4,1992,Site_02_1992_004,Macroalgae,11.2
Cabritte,5,1992,Site_02_1992_005,Macroalgae,5.9
Cabritte,6,1992,Site_02_1992_006,Macroalgae,1.6
Cabritte,7,1992,Site_02_1992_007,Macroalgae,1.6
Cabritte,8,1992,Site_02_1992_008,Macroalgae,4.6
Cabritte,9,1992,Site_02_1992_009,Macroalgae,1
Cabritte,10,1992,Site_02_1992_010,Macroalgae,4.2
Cabritte,11,1992,Site_02_1992_011,Macroalgae,5.7
Cabritte,12,1992,Site_02_1992_012,Macroalgae,6.2
Cabritte,13,1992,Site_02_1992_013,Macroalgae,5.7
Cabritte,14,1992,Site_02_1992_014,Macroalgae,11
Cabritte,15,1992,Site_02_1992_015,Macroalgae,2.6
Cabritte,16,1992,Site_02_1992_016,Macroalgae,9.7
Cabritte,17,1992,Site_02_1992_017,Macroalgae,4.7
East Tektite,1,1992,Site_06_1992_001,Macroalgae,14.9
East Tektite,2,1992,Site_06_1992_002,Macroalgae,6.8
East Tektite,3,1992,Site_06_1992_003,Macroalgae,23.7
East Tektite,4,1992,Site_06_1992_004,Macroalgae,3.1
East Tektite,5,1992,Site_06_1992_005,Macroalgae,1
East Tektite,6,1992,Site_06_1992_006,Macroalgae,1
East Tektite,7,1992,Site_06_1992_007,Macroalgae,10.4
East Tektite,8,1992,Site_06_1992_008,Macroalgae,1.5
East Tektite,9,1992,Site_06_1992_009,Macroalgae,26.5
East Tektite,10,1992,Site_06_1992_010,Macroalgae,27.9
East Tektite,11,1992,Site_06_1992_011,Macroalgae,30.3
East Tektite,12,1992,Site_06_1992_012,Macroalgae,16.7
East Tektite,13,1992,Site_06_1992_013,Macroalgae,9.7
East Tektite,14,1992,Site_06_1992_014,Macroalgae,21.8
East Tektite,15,1992,Site_06_1992_015,Macroalgae,20.8
East Tektite,16,1992,Site_06_1992_016,Macroalgae,5.1
East Tektite,17,1992,Site_06_1992_017,Macroalgae,24.4
Europa Bay,1,1992,Site_11_1992_A_001,Macroalgae,3.2
Europa Bay,2,1992,Site_11_1992_A_002,Macroalgae,0
Europa Bay,3,1992,Site_11_1992_A_003,Macroalgae,0
Europa Bay,4,1992,Site_11_1992_A_004,Macroalgae,2.6
Europa Bay,5,1992,Site_11_1992_A_005,Macroalgae,0
Europa Bay,6,1992,Site_11_1992_A_006,Macroalgae,0
Europa Bay,7,1992,Site_11_1992_A_007,Macroalgae,1
Europa Bay,8,1992,Site_11_1992_A_008,Macroalgae,0
Europa Bay,9,1992,Site_11_1992_A_009,Macroalgae,0.5
Europa Bay,10,1992,Site_11_1992_A_010,Macroalgae,1.5
Europa Bay,11,1992,Site_11_1992_A_011,Macroalgae,0
Europa Bay,12,1992,Site_11_1992_A_012,Macroalgae,0.5
Europa Bay,13,1992,Site_11_1992_A_013,Macroalgae,0
Europa Bay,14,1992,Site_11_1992_A_014,Macroalgae,0
Europa Bay,15,1992,Site_11_1992_A_015,Macroalgae,0
Europa Bay,16,1992,Site_11_1992_A_016,Macroalgae,1.5
Europa Bay,17,1992,Site_11_1992_A_017,Macroalgae,0
Little Lameshur Bay,1,1992,Site_09_1992_001,Macroalgae,4.7
Little Lameshur Bay,2,1992,Site_09_1992_002,Macroalgae,0
Little Lameshur Bay,3,1992,Site_09_1992_003,Macroalgae,1.6
Little Lameshur Bay,4,1992,Site_09_1992_004,Macroalgae,0
Little Lameshur Bay,5,1992,Site_09_1992_005,Macroalgae,1
Little Lameshur Bay,6,1992,Site_09_1992_006,Macroalgae,0
Little Lameshur Bay,7,1992,Site_09_1992_007,Macroalgae,0
Little Lameshur Bay,8,1992,Site_09_1992_008,Macroalgae,2.2
Little Lameshur Bay,9,1992,Site_09_1992_009,Macroalgae,2.6
Little Lameshur Bay,10,1992,Site_09_1992_010,Macroalgae,2.6
Little Lameshur Bay,11,1992,Site_09_1992_011,Macroalgae,5.7
Little Lameshur Bay,12,1992,Site_09_1992_012,Macroalgae,1.6
Little Lameshur Bay,13,1992,Site_09_1992_013,Macroalgae,2.1
Little Lameshur Bay,14,1992,Site_09_1992_014,Macroalgae,7.7
Little Lameshur Bay,15,1992,Site_09_1992_015,Macroalgae,3.1
Little Lameshur Bay,16,1992,Site_09_1992_016,Macroalgae,12.4
Little Lameshur Bay,17,1992,Site_09_1992_017,Macroalgae,4.3
Neptunes Table,1,1992,Site_05_1992_001,Macroalgae,33.5
Neptunes Table,2,1992,Site_05_1992_002,Macroalgae,30.8
Neptunes Table,3,1992,Site_05_1992_003,Macroalgae,14.3
Neptunes Table,4,1992,Site_05_1992_004,Macroalgae,3.2
Neptunes Table,5,1992,Site_05_1992_005,Macroalgae,1.6
Neptunes Table,6,1992,Site_05_1992_006,Macroalgae,9.7
Neptunes Table,7,1992,Site_05_1992_007,Macroalgae,5.2
Neptunes Table,8,1992,Site_05_1992_008,Macroalgae,24.6
Neptunes Table,9,1992,Site_05_1992_009,Macroalgae,26.6
Neptunes Table,10,1992,Site_05_1992_010,Macroalgae,36
Neptunes Table,11,1992,Site_05_1992_011,Macroalgae,13.8
Neptunes Table,12,1992,Site_05_1992_012,Macroalgae,41
Neptunes Table,13,1992,Site_05_1992_013,Macroalgae,17.3
Neptunes Table,14,1992,Site_05_1992_014,Macroalgae,20.3
Neptunes Table,15,1992,Site_05_1992_015,Macroalgae,9.5
Neptunes Table,16,1992,Site_05_1992_016,Macroalgae,14.6
Neptunes Table,17,1992,Site_05_1992_017,Macroalgae,31.6
White Point,1,1992,Site_15_1992_001,Macroalgae,30.4
White Point,2,1992,Site_15_1992_002,Macroalgae,24.4
White Point,3,1992,Site_15_1992_003,Macroalgae,28.3
White Point,4,1992,Site_15_1992_004,Macroalgae,61.2
White Point,5,1992,Site_15_1992_005,Macroalgae,69.3
White Point,6,1992,Site_15_1992_006,Macroalgae,21.9
White Point,7,1992,Site_15_1992_007,Macroalgae,57.8
White Point,8,1992,Site_15_1992_008,Macroalgae,54.9
White Point,9,1992,Site_15_1992_009,Macroalgae,26.6
White Point,10,1992,Site_15_1992_010,Macroalgae,27.2
White Point,11,1992,Site_15_1992_011,Macroalgae,70.4
White Point,12,1992,Site_15_1992_012,Macroalgae,57.5
White Point,13,1992,Site_15_1992_013,Macroalgae,55.4
White Point,14,1992,Site_15_1992_014,Macroalgae,29.4
White Point,15,1992,Site_15_1992_015,Macroalgae,34.5
White Point,16,1992,Site_15_1992_016,Macroalgae,55.8
White Point,17,1992,Site_15_1992_017,Macroalgae,32.7
Cabritte,1,1992,Site_02_1992_001,percentCover_CTB,10.4
Cabritte,2,1992,Site_02_1992_002,percentCover_CTB,19.8
Cabritte,3,1992,Site_02_1992_003,percentCover_CTB,7.6
Cabritte,4,1992,Site_02_1992_004,percentCover_CTB,6.1
Cabritte,5,1992,Site_02_1992_005,percentCover_CTB,2.1
Cabritte,6,1992,Site_02_1992_006,percentCover_CTB,3.1
Cabritte,7,1992,Site_02_1992_007,percentCover_CTB,0.5
Cabritte,8,1992,Site_02_1992_008,percentCover_CTB,0
Cabritte,9,1992,Site_02_1992_009,percentCover_CTB,14.1
Cabritte,10,1992,Site_02_1992_010,percentCover_CTB,13
Cabritte,11,1992,Site_02_1992_011,percentCover_CTB,22.2
Cabritte,12,1992,Site_02_1992_012,percentCover_CTB,60.3
Cabritte,13,1992,Site_02_1992_013,percentCover_CTB,28
Cabritte,14,1992,Site_02_1992_014,percentCover_CTB,2.6
Cabritte,15,1992,Site_02_1992_015,percentCover_CTB,13.1
Cabritte,16,1992,Site_02_1992_016,percentCover_CTB,9.7
Cabritte,17,1992,Site_02_1992_017,percentCover_CTB,11.5
East Tektite,1,1992,Site_06_1992_001,percentCover_CTB,18
East Tektite,2,1992,Site_06_1992_002,percentCover_CTB,10.4
East Tektite,3,1992,Site_06_1992_003,percentCover_CTB,47.4
East Tektite,4,1992,Site_06_1992_004,percentCover_CTB,50.8
East Tektite,5,1992,Site_06_1992_005,percentCover_CTB,55.5
East Tektite,6,1992,Site_06_1992_006,percentCover_CTB,19
East Tektite,7,1992,Site_06_1992_007,percentCover_CTB,49.7
East Tektite,8,1992,Site_06_1992_008,percentCover_CTB,86.1
East Tektite,9,1992,Site_06_1992_009,percentCover_CTB,54.6
East Tektite,10,1992,Site_06_1992_010,percentCover_CTB,27.9
East Tektite,11,1992,Site_06_1992_011,percentCover_CTB,20.2
East Tektite,12,1992,Site_06_1992_012,percentCover_CTB,8.1
East Tektite,13,1992,Site_06_1992_013,percentCover_CTB,80.6
East Tektite,14,1992,Site_06_1992_014,percentCover_CTB,41.6
East Tektite,15,1992,Site_06_1992_015,percentCover_CTB,38.5
East Tektite,16,1992,Site_06_1992_016,percentCover_CTB,30.6
East Tektite,17,1992,Site_06_1992_017,percentCover_CTB,45.6
Europa Bay,1,1992,Site_11_1992_A_001,percentCover_CTB,53.2
Europa Bay,2,1992,Site_11_1992_A_002,percentCover_CTB,54.7
Europa Bay,3,1992,Site_11_1992_A_003,percentCover_CTB,29.3
Europa Bay,4,1992,Site_11_1992_A_004,percentCover_CTB,50
Europa Bay,5,1992,Site_11_1992_A_005,percentCover_CTB,52.1
Europa Bay,6,1992,Site_11_1992_A_006,percentCover_CTB,34.2
Europa Bay,7,1992,Site_11_1992_A_007,percentCover_CTB,28.4
Europa Bay,8,1992,Site_11_1992_A_008,percentCover_CTB,60.9
Europa Bay,9,1992,Site_11_1992_A_009,percentCover_CTB,52.9
Europa Bay,10,1992,Site_11_1992_A_010,percentCover_CTB,54.6
Europa Bay,11,1992,Site_11_1992_A_011,percentCover_CTB,54.6
Europa Bay,12,1992,Site_11_1992_A_012,percentCover_CTB,52.1
Europa Bay,13,1992,Site_11_1992_A_013,percentCover_CTB,51.4
Europa Bay,14,1992,Site_11_1992_A_014,percentCover_CTB,67.4
Europa Bay,15,1992,Site_11_1992_A_015,percentCover_CTB,36.1
Europa Bay,16,1992,Site_11_1992_A_016,percentCover_CTB,55.4
Europa Bay,17,1992,Site_11_1992_A_017,percentCover_CTB,68.4
Little Lameshur Bay,1,1992,Site_09_1992_001,percentCover_CTB,54.2
Little Lameshur Bay,2,1992,Site_09_1992_002,percentCover_CTB,54.1
Little Lameshur Bay,3,1992,Site_09_1992_003,percentCover_CTB,55.4
Little Lameshur Bay,4,1992,Site_09_1992_004,percentCover_CTB,20.2
Little Lameshur Bay,5,1992,Site_09_1992_005,percentCover_CTB,44.6
Little Lameshur Bay,6,1992,Site_09_1992_006,percentCover_CTB,68.1
Little Lameshur Bay,7,1992,Site_09_1992_007,percentCover_CTB,58.7
Little Lameshur Bay,8,1992,Site_09_1992_008,percentCover_CTB,48.6
Little Lameshur Bay,9,1992,Site_09_1992_009,percentCover_CTB,90.7
Little Lameshur Bay,10,1992,Site_09_1992_010,percentCover_CTB,39.8
Little Lameshur Bay,11,1992,Site_09_1992_011,percentCover_CTB,51.8
Little Lameshur Bay,12,1992,Site_09_1992_012,percentCover_CTB,23.7
Little Lameshur Bay,13,1992,Site_09_1992_013,percentCover_CTB,41.2
Little Lameshur Bay,14,1992,Site_09_1992_014,percentCover_CTB,49.5
Little Lameshur Bay,15,1992,Site_09_1992_015,percentCover_CTB,54.9
Little Lameshur Bay,16,1992,Site_09_1992_016,percentCover_CTB,60.1
Little Lameshur Bay,17,1992,Site_09_1992_017,percentCover_CTB,74.3
Neptunes Table,1,1992,Site_05_1992_001,percentCover_CTB,11.7
Neptunes Table,2,1992,Site_05_1992_002,percentCover_CTB,4.1
Neptunes Table,3,1992,Site_05_1992_003,percentCover_CTB,26.5
Neptunes Table,4,1992,Site_05_1992_004,percentCover_CTB,22.1
Neptunes Table,5,1992,Site_05_1992_005,percentCover_CTB,7.9
Neptunes Table,6,1992,Site_05_1992_006,percentCover_CTB,31.3
Neptunes Table,7,1992,Site_05_1992_007,percentCover_CTB,44
Neptunes Table,8,1992,Site_05_1992_008,percentCover_CTB,42.6
Neptunes Table,9,1992,Site_05_1992_009,percentCover_CTB,27.6
Neptunes Table,10,1992,Site_05_1992_010,percentCover_CTB,36.6
Neptunes Table,11,1992,Site_05_1992_011,percentCover_CTB,41.5
Neptunes Table,12,1992,Site_05_1992_012,percentCover_CTB,23.4
Neptunes Table,13,1992,Site_05_1992_013,percentCover_CTB,72.8
Neptunes Table,14,1992,Site_05_1992_014,percentCover_CTB,38.5
Neptunes Table,15,1992,Site_05_1992_015,percentCover_CTB,29.1
Neptunes Table,16,1992,Site_05_1992_016,percentCover_CTB,20.8
Neptunes Table,17,1992,Site_05_1992_017,percentCover_CTB,26.8
White Point,1,1992,Site_15_1992_001,percentCover_CTB,33
White Point,2,1992,Site_15_1992_002,percentCover_CTB,59.1
White Point,3,1992,Site_15_1992_003,percentCover_CTB,23.6
White Point,4,1992,Site_15_1992_004,percentCover_CTB,15.8
White Point,5,1992,Site_15_1992_005,percentCover_CTB,12
White Point,6,1992,Site_15_1992_006,percentCover_CTB,32.1
White Point,7,1992,Site_15_1992_007,percentCover_CTB,26.6
White Point,8,1992,Site_15_1992_008,percentCover_CTB,22.3
White Point,9,1992,Site_15_1992_009,percentCover_CTB,16.7
White Point,10,1992,Site_15_1992_010,percentCover_CTB,41.5
White Point,11,1992,Site_15_1992_011,percentCover_CTB,12.8
White Point,12,1992,Site_15_1992_012,percentCover_CTB,23.8
White Point,13,1992,Site_15_1992_013,percentCover_CTB,13.4
White Point,14,1992,Site_15_1992_014,percentCover_CTB,28.4
White Point,15,1992,Site_15_1992_015,percentCover_CTB,43.3
White Point,16,1992,Site_15_1992_016,percentCover_CTB,11.1
White Point,17,1992,Site_15_1992_017,percentCover_CTB,18.9
Cabritte,1,1993,Site2_7-9m_1993_06_Q1,All coral,7
Cabritte,2,1993,Site2_7-9m_1993_06_Q10,All coral,11
Cabritte,3,1993,Site2_7-9m_1993_06_Q11,All coral,11.6
Cabritte,4,1993,Site2_7-9m_1993_06_Q12,All coral,20.2
Cabritte,5,1993,Site2_7-9m_1993_06_Q13,All coral,15.8
Cabritte,6,1993,Site2_7-9m_1993_06_Q14,All coral,3.5
Cabritte,7,1993,Site2_7-9m_1993_06_Q15,All coral,7.5
Cabritte,8,1993,Site2_7-9m_1993_06_Q16,All coral,2.6
Cabritte,9,1993,Site2_7-9m_1993_06_Q2,All coral,21.6
Cabritte,10,1993,Site2_7-9m_1993_06_Q3,All coral,21
Cabritte,11,1993,Site2_7-9m_1993_06_Q4,All coral,0
Cabritte,12,1993,Site2_7-9m_1993_06_Q5,All coral,6.7
Cabritte,13,1993,Site2_7-9m_1993_06_Q6,All coral,7
Cabritte,14,1993,Site2_7-9m_1993_06_Q7,All coral,1.5
Cabritte,15,1993,Site2_7-9m_1993_06_Q8,All coral,1.5
Cabritte,16,1993,Site2_7-9m_1993_06_Q9,All coral,0.5
East Tektite,1,1993,Site6_7-9m_1993_06_Q1,All coral,17.8
East Tektite,2,1993,Site6_7-9m_1993_06_Q10,All coral,2
East Tektite,3,1993,Site6_7-9m_1993_06_Q11,All coral,0
East Tektite,4,1993,Site6_7-9m_1993_06_Q12,All coral,0
East Tektite,5,1993,Site6_7-9m_1993_06_Q13,All coral,0
East Tektite,6,1993,Site6_7-9m_1993_06_Q14,All coral,2.5
East Tektite,7,1993,Site6_7-9m_1993_06_Q15,All coral,2.5
East Tektite,8,1993,Site6_7-9m_1993_06_Q16,All coral,4.5
East Tektite,9,1993,Site6_7-9m_1993_06_Q17,All coral,7.5
East Tektite,10,1993,Site6_7-9m_1993_06_Q2,All coral,36
East Tektite,11,1993,Site6_7-9m_1993_06_Q3,All coral,15
East Tektite,12,1993,Site6_7-9m_1993_06_Q4,All coral,13.5
East Tektite,13,1993,Site6_7-9m_1993_06_Q5,All coral,0
East Tektite,14,1993,Site6_7-9m_1993_06_Q6,All coral,0
East Tektite,15,1993,Site6_7-9m_1993_06_Q7,All coral,0
East Tektite,16,1993,Site6_7-9m_1993_06_Q8,All coral,0
East Tektite,17,1993,Site6_7-9m_1993_06_Q9,All coral,18.5
Europa Bay,1,1993,Site11_7-9m_1993_06_Q1,All coral,2.5
Europa Bay,2,1993,Site11_7-9m_1993_06_Q10,All coral,0
Europa Bay,3,1993,Site11_7-9m_1993_06_Q11,All coral,0
Europa Bay,4,1993,Site11_7-9m_1993_06_Q12,All coral,0
Europa Bay,5,1993,Site11_7-9m_1993_06_Q13,All coral,0
Europa Bay,6,1993,Site11_7-9m_1993_06_Q14,All coral,1
Europa Bay,7,1993,Site11_7-9m_1993_06_Q16,All coral,0
Europa Bay,8,1993,Site11_7-9m_1993_06_Q17,All coral,0
Europa Bay,9,1993,Site11_7-9m_1993_06_Q2,All coral,0
Europa Bay,10,1993,Site11_7-9m_1993_06_Q3,All coral,13.1
Europa Bay,11,1993,Site11_7-9m_1993_06_Q4,All coral,5
Europa Bay,12,1993,Site11_7-9m_1993_06_Q5,All coral,8
Europa Bay,13,1993,Site11_7-9m_1993_06_Q6,All coral,14
Europa Bay,14,1993,Site11_7-9m_1993_06_Q7,All coral,0
Europa Bay,15,1993,Site11_7-9m_1993_06_Q8,All coral,0
Europa Bay,16,1993,Site11_7-9m_1993_06_Q9,All coral,0
Little Lameshur Bay,1,1993,Site9_7-9m_1993_06_Q1,All coral,6
Little Lameshur Bay,2,1993,Site9_7-9m_1993_06_Q10,All coral,7.1
Little Lameshur Bay,3,1993,Site9_7-9m_1993_06_Q11,All coral,0
Little Lameshur Bay,4,1993,Site9_7-9m_1993_06_Q12,All coral,14.6
Little Lameshur Bay,5,1993,Site9_7-9m_1993_06_Q13,All coral,0
Little Lameshur Bay,6,1993,Site9_7-9m_1993_06_Q14,All coral,0
Little Lameshur Bay,7,1993,Site9_7-9m_1993_06_Q15,All coral,0
Little Lameshur Bay,8,1993,Site9_7-9m_1993_06_Q16,All coral,0
Little Lameshur Bay,9,1993,Site9_7-9m_1993_06_Q17,All coral,0
Little Lameshur Bay,10,1993,Site9_7-9m_1993_06_Q2,All coral,1.5
Little Lameshur Bay,11,1993,Site9_7-9m_1993_06_Q3,All coral,0
Little Lameshur Bay,12,1993,Site9_7-9m_1993_06_Q4,All coral,0
Little Lameshur Bay,13,1993,Site9_7-9m_1993_06_Q5,All coral,0
Little Lameshur Bay,14,1993,Site9_7-9m_1993_06_Q6,All coral,0
Little Lameshur Bay,15,1993,Site9_7-9m_1993_06_Q7,All coral,0
Little Lameshur Bay,16,1993,Site9_7-9m_1993_06_Q8,All coral,0
Little Lameshur Bay,17,1993,Site9_7-9m_1993_06_Q9,All coral,3.1
Neptunes Table,1,1993,Site5_7-9m_1993_06_Q1,All coral,2
Neptunes Table,2,1993,Site5_7-9m_1993_06_Q10,All coral,0
Neptunes Table,3,1993,Site5_7-9m_1993_06_Q11,All coral,0
Neptunes Table,4,1993,Site5_7-9m_1993_06_Q12,All coral,0
Neptunes Table,5,1993,Site5_7-9m_1993_06_Q13,All coral,0
Neptunes Table,6,1993,Site5_7-9m_1993_06_Q14,All coral,0
Neptunes Table,7,1993,Site5_7-9m_1993_06_Q15,All coral,0
Neptunes Table,8,1993,Site5_7-9m_1993_06_Q16,All coral,3
Neptunes Table,9,1993,Site5_7-9m_1993_06_Q2,All coral,0
Neptunes Table,10,1993,Site5_7-9m_1993_06_Q3,All coral,0
Neptunes Table,11,1993,Site5_7-9m_1993_06_Q4,All coral,0
Neptunes Table,12,1993,Site5_7-9m_1993_06_Q5,All coral,0
Neptunes Table,13,1993,Site5_7-9m_1993_06_Q6,All coral,0
Neptunes Table,14,1993,Site5_7-9m_1993_06_Q7,All coral,8.7
Neptunes Table,15,1993,Site5_7-9m_1993_06_Q8,All coral,0
White Point,1,1993,Site15_7-9m_1993_06_Q1,All coral,3.5
White Point,2,1993,Site15_7-9m_1993_06_Q10,All coral,3
White Point,3,1993,Site15_7-9m_1993_06_Q11,All coral,20.1
White Point,4,1993,Site15_7-9m_1993_06_Q12,All coral,0
White Point,5,1993,Site15_7-9m_1993_06_Q13,All coral,7.1
White Point,6,1993,Site15_7-9m_1993_06_Q14,All coral,0
White Point,7,1993,Site15_7-9m_1993_06_Q15,All coral,1.5
White Point,8,1993,Site15_7-9m_1993_06_Q16,All coral,4
White Point,9,1993,Site15_7-9m_1993_06_Q2,All coral,7
White Point,10,1993,Site15_7-9m_1993_06_Q3,All coral,23.2
White Point,11,1993,Site15_7-9m_1993_06_Q4,All coral,5
White Point,12,1993,Site15_7-9m_1993_06_Q5,All coral,5.9
White Point,13,1993,Site15_7-9m_1993_06_Q6,All coral,1.5
White Point,14,1993,Site15_7-9m_1993_06_Q7,All coral,1.5
White Point,15,1993,Site15_7-9m_1993_06_Q8,All coral,0
White Point,16,1993,Site15_7-9m_1993_06_Q9,All coral,1
Cabritte,1,1993,Site2_7-9m_1993_06_Q1,Macroalgae,12
Cabritte,2,1993,Site2_7-9m_1993_06_Q10,Macroalgae,2.2
Cabritte,3,1993,Site2_7-9m_1993_06_Q11,Macroalgae,8.7
Cabritte,4,1993,Site2_7-9m_1993_06_Q12,Macroalgae,3.9
Cabritte,5,1993,Site2_7-9m_1993_06_Q13,Macroalgae,14.4
Cabritte,6,1993,Site2_7-9m_1993_06_Q14,Macroalgae,14.8
Cabritte,7,1993,Site2_7-9m_1993_06_Q15,Macroalgae,1.6
Cabritte,8,1993,Site2_7-9m_1993_06_Q16,Macroalgae,19.1
Cabritte,9,1993,Site2_7-9m_1993_06_Q2,Macroalgae,4.5
Cabritte,10,1993,Site2_7-9m_1993_06_Q3,Macroalgae,4.6
Cabritte,11,1993,Site2_7-9m_1993_06_Q4,Macroalgae,6.3
Cabritte,12,1993,Site2_7-9m_1993_06_Q5,Macroalgae,26.2
